IF,IG,IH,IM,PROTES,CATHOL,SINGLE24,SINGLE49,MAGRIC,MIND,MCOMM,MTRANSP,MADMIN,TAGRIC,TIND,TCOMM,TTRANSP,TADMIN,INFMORT,WAGRIC,WIND,WCOMM,WTRANSP,WADMIN,WOLABFOR,GERMAN,FRENCH,ITALIAN,ROMANS,PROPTOT,GRADE1,GRADE5,USCHOOL,LOWALT,ALT500,ALT1000,DECLIM01,DECLIM05,DECLIM00,DECLIG10,DECLIG6,SEXRATIO,BORNCOM,BORNFOR,LABEL,key,Canton,District1,District2,
297,632,14,458,1740,98190,78100,18100,575,329,44,30,17,491,386,68,27,22,141,40,302,471,59,357,444,99860,100,30,0,99200,17000,16000,24000,100000,0,0,1874900,1914900,1917700,1877300,1917200,1120,672,14,L405,504,Schwyz,Kuessnacht,,
318,699,16,442,3080,96910,76700,14600,606,275,44,45,21,469,411,55,33,22,206,77,521,429,30,315,298,99350,50,510,70,101500,12000,23000,10000,90000,10000,0,1888800,1916200,1919600,1885500,1913300,973,709,19,L505,505,Schwyz,March,,
305,744,10,402,1290,98700,80200,23200,606,239,54,59,38,471,363,66,45,47,163,64,521,406,45,417,649,98350,440,1050,110,103900,10000,32000,12000,32000,58000,10000,1879100,1918400,1919000,1883800,1919200,962,697,28,L605,506,Schwyz,Schwyz,,
293,761,14,373,2230,97760,85300,25300,667,188,29,85,30,589,254,47,67,36,127,143,439,526,43,371,939,97730,200,1990,50,102300,14000,15000,6000,49000,38000,13000,1874800,1906500,1907200,1881100,1929500,998,756,27,L6,601,Schwyz,Obwalden,,
326,763,14,417,890,99090,78100,24700,531,270,59,107,30,437,350,77,82,42,151,97,426,430,33,475,836,96630,110,3210,20,98400,16000,14000,12000,69000,31000,0,1875900,1906100,1910000,1885500,1946000,962,647,44,L7,701,Schwyz,Nidwalden,,
242,486,10,488,76720,23070,67600,13700,282,583,52,46,35,182,693,64,29,28,188,68,494,514,40,260,705,98920,150,610,280,98000,23000,11000,20000,55000,45000,0,1876000,1908500,1919700,1879900,1860000,897,684,34,L8,801,Schwyz,Glarus,,
251,625,9,392,5960,93910,81800,19700,473,396,46,46,34,358,502,59,33,41,171,80,451,461,30,434,375,98780,540,520,70,98700,18000,15000,26000,69000,31000,0,1874200,1896400,1917100,1882000,1909700,945,543,29,L9,901,Schwyz,Zug,,
414,838,70,448,7130,92850,75700,21800,752,166,23,24,31,702,193,36,23,35,236,150,317,500,170,289,694,6590,93250,150,0,97500,16000,17000,7000,53000,47000,0,1898800,1928400,1935000,1914100,1940000,1018,649,12,L110,1001,Fribourg,Broye,,
390,924,35,399,2740,97160,82200,25800,732,178,29,27,29,678,215,45,25,30,249,180,372,508,159,275,533,2950,96800,240,0,100400,14000,16000,8000,0,100000,0,1884600,1925400,1935000,1921000,1940000,1036,580,11,L210,1002,Fribourg,Glane,,
362,824,34,415,2190,97670,77800,26700,646,226,42,33,35,533,328,58,27,35,210,124,503,469,103,288,357,6920,92450,610,0,100400,12000,22000,7000,0,96000,4000,1876600,1916100,1929400,1910200,1927600,961,673,15,L310,1003,Fribourg,Gruyere,,
