"","clean.city.1860","County.1860","clean.city.1910","County.1910","lon","lat","State.1910","City.1910","Pop.1910","State.1860","City.1860","Pop.1860","alternate.city.1910","alternate.city.1860","inside_1910","inside_1860","match.ID","Deutsch.1910","Franzosisch.1910","Italienisch.1910","Romanisch.1910","Mannlich.1910","Weiblich.1910","Auslander.1910","Protestantisch.1910","Katholisch.1910","Deutsch.1860","Franzosisch.1860","Italienisch.1860","Romanisch.1860","Mannlich.1860","Weiblich.1860","Auslander.1860","Protestantische.1860","Katholisch.1860","PctGerman","rough","elev","Dist","Growth","PctCath"
"537","Villars sur
Champvent","Yverdon (Ifferten)-Bezirk","Villars-sous-Champvent","19. Yverdon ( Iferten)",6.58323,46.78638,"Vaud","385. Villars-sous-Champvent",51,"Vaud","36. Villars sur
Champvent",47,"FALSE","FALSE",TRUE,TRUE,FALSE,4,46,0,0,25,25,0,46,4,0,14,0,"0",25,22,0,47,0,0,80,479,-13.1837962390993,4,0
"538","Villars sur
Epeney","Yverdon (Ifferten)-Bezirk","Villars-Epeney","19. Yverdon ( Iferten)",6.6966947,46.7809758,"Vaud","384. Villars-Epeney",56,"Vaud","37. Villars sur
Epeney",58,"FALSE","FALSE",TRUE,TRUE,FALSE,2,55,0,0,33,24,0,56,1,0,10,0,"0",27,31,0,58,0,0,87,557,-6.44781760916318,-2,0
"539","Villars-d'Avry","Greyerz-Bezirk","Villars d'Avry","3. La Gruyere (Greierz)",7.0755,46.69611,"Freiburg","139. Villars d'Avry (Wider ob Avry)",102,"Freiburg","37. Villars-d'Avry",100,"Wider ob Avry","FALSE",TRUE,TRUE,FALSE,13,88,0,0,53,48,0,0,101,2,16,0,"0",44,56,2,0,90,0.111111111111111,172,833,11.448206324407,2,1
"540","Villars-le-Terroir","Eschallens-Bezirk","Villarsde-Terroir","5. Echallens ( Tscherli1z)",6.6390489,46.65755,"Vaud","104. Villarsde-Terroir",528,"Vaud","27. Villars-le-Terroir",573,"FALSE","FALSE",TRUE,TRUE,FALSE,4,524,0,0,268,260,0,41,487,0,116,0,"0",283,290,5,64,509,0,36,638,-11.756494249476,-45,0.888307155322862
"541","Villars-Lussery","Cossonay-Bezirk","Villars-bussery","4. Cossonay",6.536765,46.5613135,"Vaud","77. Villars-bussery",84,"Vaud","32. Villars-Lussery",82,"FALSE","FALSE",TRUE,TRUE,FALSE,4,77,4,0,53,32,3,80,5,0,15,0,"0",42,40,0,82,0,0,55,441,-20.0434043191888,2,0
"542","Villars-sous-
Mont","Greyerz-Bezirk","Villars-sous-Mont","3. La Gruyere (Greierz)",7.066663,46.533336,"Freiburg","140. Villars-sous-Mont (Wiler am Berg)",136,"Freiburg","38. Villars-sous-
Mont",105,"Wiler am Berg","FALSE",TRUE,TRUE,FALSE,1,136,0,0,63,74,3,0,137,0,28,0,"0",54,51,0,10,105,0,628,903,4.93588471853481,31,0.91304347826087
"543","Villars-sur-Crlane","Sanne-Bezirk","Villars-sur-Glane","4. La Sarine ( Saane)",7.1237822,46.7931801,"Freiburg","203. Villars-sur-Glane",904,"Freiburg","59. Villars-sur-Crläne",452,"FALSE","FALSE",TRUE,TRUE,FALSE,237,654,13,0,487,420,114,90,804,11,55,0,"0",243,209,13,79,373,0.166666666666667,98,698,8.72620517981176,452,0.825221238938053
"544","Villars-Tiercelin","Eschallens-Bezirk","Villars-Tiercelin","5. Echallens ( Tscherli1z)",6.70336,46.6256905,"Vaud","105. Villars-Tiercelin",233,"Vaud","28. Villars-Tiercelin",251,"FALSE","FALSE",TRUE,TRUE,FALSE,11,223,0,0,123,111,1,231,3,0,57,0,"0",123,128,1,250,1,0,120,798,-7.3532749699806,-18,0.00398406374501992
"545","Villarsel-le-
Gibloux","Sanne-Bezirk","lillarsetleytibleut Oillareel an Gibel)","4. La Sarine ( Saane)",7.1619719,46.8064773,"Freiburg","201. lillarsetleytibleut Oillareel an Gibel).",198,"Freiburg","57. Villarsel-le-
Gibloux",171,"FALSE","FALSE",TRUE,TRUE,FALSE,0,204,0,0,111,93,0,0,204,0,35,0,"0",81,90,0,0,171,0,92,567,10.044702360729,27,1
"546","Villarsel-sur-
Marly","Sanne-Bezirk","lillarsel-har-liarl)","4. La Sarine ( Saane)",7.1619719,46.8064773,"Freiburg","202. lillarsel-har-liarl) (1Ifind oh llerlenlarli)",97,"Freiburg","58. Villarsel-sur-
Marly",82,"1Ifind oh llerlenlarli","FALSE",TRUE,TRUE,FALSE,29,66,0,0,47,48,0,17,78,0,14,0,"0",41,41,0,0,82,0,92,567,10.044702360729,15,1
"547","Villarzell","Peterlingen(Payerne)-Bezirk","Villarzel","15. Payerne (Peterlingen)",6.9129687,46.7484013,"Vaud","322. Villarzel",265,"Vaud","20. Villarzell",341,"FALSE","FALSE",TRUE,TRUE,FALSE,18,249,0,0,138,129,0,257,10,0,68,0,"0",158,183,0,339,2,0,163,636,-0.740922515038017,-76,0.00586510263929619
